route,date,detections
Eastern Borders Route,2016-08-01,121
Eastern Borders Route,2016-09-01,182
Eastern Borders Route,2016-10-01,161
Eastern Borders Route,2016-11-01,82
Eastern Borders Route,2016-12-01,74
Eastern Borders Route,2017-01-01,33
Eastern Borders Route,2017-02-01,46
Eastern Borders Route,2017-03-01,64
Eastern Borders Route,2017-04-01,39
Eastern Borders Route,2017-05-01,89
Eastern Borders Route,2017-06-01,51
Eastern Borders Route,2017-07-01,66
Eastern Borders Route,2017-08-01,142
Eastern Borders Route,2017-09-01,57
Eastern Borders Route,2017-10-01,92
Eastern Borders Route,2017-11-01,70
Eastern Borders Route,2017-12-01,27
Eastern Borders Route,2018-01-01,60
Eastern Borders Route,2018-02-01,22
Eastern Borders Route,2018-03-01,30
Eastern Borders Route,2018-04-01,46
Eastern Borders Route,2018-05-01,104
Eastern Borders Route,2018-06-01,127
Eastern Borders Route,2018-07-01,192
Eastern Borders Route,2018-08-01,132
Eastern Borders Route,2018-09-01,120
Eastern Borders Route,2018-10-01,76
Eastern Borders Route,2018-11-01,88
Eastern Borders Route,2018-12-01,32
Eastern Borders Route,2019-01-01,47
Eastern Borders Route,2019-02-01,31
Eastern Borders Route,2019-03-01,56
Eastern Borders Route,2019-04-01,55
Eastern Borders Route,2019-05-01,54
Eastern Borders Route,2019-06-01,60
Eastern Borders Route,2019-07-01,102
Eastern Borders Route,2019-08-01,72
Eastern Borders Route,2019-09-01,46
Eastern Borders Route,2019-10-01,58
Eastern Borders Route,2019-11-01,30
Eastern Borders Route,2019-12-01,31
Eastern Borders Route,2020-01-01,37
Eastern Borders Route,2020-02-01,30
Eastern Borders Route,2020-03-01,43
Eastern Borders Route,2020-04-01,5
Eastern Borders Route,2020-05-01,19
Eastern Borders Route,2020-06-01,29
Eastern Borders Route,2020-07-01,65
Eastern Borders Route,2020-08-01,55
Eastern Borders Route,2020-09-01,79
Eastern Borders Route,2020-10-01,102
Eastern Borders Route,2020-11-01,93
Eastern Borders Route,2020-12-01,58
Eastern Borders Route,2021-01-01,31
Eastern Borders Route,2021-02-01,28
Eastern Borders Route,2021-03-01,42
Eastern Borders Route,2021-04-01,147
Eastern Borders Route,2021-05-01,121
Eastern Borders Route,2021-06-01,601
Eastern Borders Route,2021-07-01,3236
Eastern Borders Route,2021-08-01,1953
Eastern Borders Route,2021-09-01,421
Eastern Borders Route,2021-10-01,780
Eastern Borders Route,2021-11-01,559
Eastern Borders Route,2021-12-01,156
Eastern Borders Route,2022-01-01,105
Eastern Borders Route,2022-02-01,235
Eastern Borders Route,2022-03-01,1214
Eastern Borders Route,2022-04-01,385
Eastern Borders Route,2022-05-01,300
Eastern Borders Route,2022-06-01,412
Eastern Borders Route,2022-07-01,671
Eastern Borders Route,2022-08-01,840
Eastern Borders Route,2022-09-01,600
Eastern Borders Route,2022-10-01,577
Eastern Borders Route,2022-11-01,536
Eastern Borders Route,2022-12-01,457
Eastern Borders Route,2023-01-01,718
Eastern Borders Route,2023-02-01,361
Eastern Borders Route,2023-03-01,418
Eastern Borders Route,2023-04-01,393
Eastern Borders Route,2023-05-01,367
Eastern Borders Route,2023-06-01,422
Eastern Borders Route,2023-07-01,532
Eastern Borders Route,2023-08-01,600
Eastern Borders Route,2023-09-01,677
Eastern Borders Route,2023-10-01,630
Eastern Borders Route,2023-11-01,357
Eastern Borders Route,2023-12-01,273
Eastern Borders Route,2024-01-01,387
Eastern Borders Route,2024-02-01,506
Eastern Borders Route,2024-03-01,723
Eastern Borders Route,2024-04-01,1256
Eastern Borders Route,2024-05-01,2529
Eastern Borders Route,2024-06-01,2218
Eastern Borders Route,2024-07-01,2228
Eastern Borders Route,2024-08-01,1739
Eastern Borders Route,2024-09-01,1976
Eastern Borders Route,2024-10-01,1806
Eastern Borders Route,2024-11-01,1178
Eastern Borders Route,2024-12-01,714
Eastern Borders Route,2025-01-01,524
Eastern Borders Route,2025-02-01,477
Eastern Borders Route,2025-03-01,612
Eastern Borders Route,2025-04-01,567
Eastern Borders Route,2025-05-01,844
Eastern Borders Route,2025-06-01,1256
Eastern Borders Route,2025-07-01,1426
Eastern Borders Route,2025-08-01,1806
Eastern Borders Route,2025-09-01,1546
Eastern Mediterranean Route,2009-01-01,2730
Eastern Mediterranean Route,2009-02-01,2228
Eastern Mediterranean Route,2009-03-01,2870
Eastern Mediterranean Route,2009-04-01,3298
Eastern Mediterranean Route,2009-05-01,3750
Eastern Mediterranean Route,2009-06-01,3880
Eastern Mediterranean Route,2009-07-01,3920
Eastern Mediterranean Route,2009-08-01,4272
Eastern Mediterranean Route,2009-09-01,3979
Eastern Mediterranean Route,2009-10-01,3969
Eastern Mediterranean Route,2009-11-01,2430
Eastern Mediterranean Route,2009-12-01,2647
Eastern Mediterranean Route,2010-01-01,2006
Eastern Mediterranean Route,2010-02-01,2177
Eastern Mediterranean Route,2010-03-01,3086
Eastern Mediterranean Route,2010-04-01,3334
Eastern Mediterranean Route,2010-05-01,3943
Eastern Mediterranean Route,2010-06-01,4495
Eastern Mediterranean Route,2010-07-01,5007
Eastern Mediterranean Route,2010-08-01,7116
Eastern Mediterranean Route,2010-09-01,7714
Eastern Mediterranean Route,2010-10-01,8229
Eastern Mediterranean Route,2010-11-01,4852
Eastern Mediterranean Route,2010-12-01,3729
Eastern Mediterranean Route,2011-01-01,2350
Eastern Mediterranean Route,2011-02-01,1861
Eastern Mediterranean Route,2011-03-01,2284
Eastern Mediterranean Route,2011-04-01,3194
Eastern Mediterranean Route,2011-05-01,4013
Eastern Mediterranean Route,2011-06-01,3931
Eastern Mediterranean Route,2011-07-01,5629
Eastern Mediterranean Route,2011-08-01,6556
Eastern Mediterranean Route,2011-09-01,7081
Eastern Mediterranean Route,2011-10-01,9943
Eastern Mediterranean Route,2011-11-01,6208
Eastern Mediterranean Route,2011-12-01,3975
Eastern Mediterranean Route,2012-01-01,3035
Eastern Mediterranean Route,2012-02-01,2411
Eastern Mediterranean Route,2012-03-01,2774
Eastern Mediterranean Route,2012-04-01,4002
Eastern Mediterranean Route,2012-05-01,4969
Eastern Mediterranean Route,2012-06-01,5154
Eastern Mediterranean Route,2012-07-01,7055
Eastern Mediterranean Route,2012-08-01,2897
Eastern Mediterranean Route,2012-09-01,1121
Eastern Mediterranean Route,2012-10-01,1253
Eastern Mediterranean Route,2012-11-01,1350
Eastern Mediterranean Route,2012-12-01,1203
Eastern Mediterranean Route,2013-01-01,712
Eastern Mediterranean Route,2013-02-01,872
Eastern Mediterranean Route,2013-03-01,1149
Eastern Mediterranean Route,2013-04-01,1246
Eastern Mediterranean Route,2013-05-01,1352
Eastern Mediterranean Route,2013-06-01,1934
Eastern Mediterranean Route,2013-07-01,2212
Eastern Mediterranean Route,2013-08-01,2132
Eastern Mediterranean Route,2013-09-01,3794
Eastern Mediterranean Route,2013-10-01,4934
Eastern Mediterranean Route,2013-11-01,2961
Eastern Mediterranean Route,2013-12-01,1500
Eastern Mediterranean Route,2014-01-01,1212
Eastern Mediterranean Route,2014-02-01,1339
Eastern Mediterranean Route,2014-03-01,1644
Eastern Mediterranean Route,2014-04-01,2030
Eastern Mediterranean Route,2014-05-01,2506
Eastern Mediterranean Route,2014-06-01,4231
Eastern Mediterranean Route,2014-07-01,5433
Eastern Mediterranean Route,2014-08-01,8046
Eastern Mediterranean Route,2014-09-01,8860
Eastern Mediterranean Route,2014-10-01,8460
Eastern Mediterranean Route,2014-11-01,4374
Eastern Mediterranean Route,2014-12-01,2699
Eastern Mediterranean Route,2015-01-01,2200
Eastern Mediterranean Route,2015-02-01,3332
Eastern Mediterranean Route,2015-03-01,8620
Eastern Mediterranean Route,2015-04-01,14566
Eastern Mediterranean Route,2015-05-01,20213
Eastern Mediterranean Route,2015-06-01,33399
Eastern Mediterranean Route,2015-07-01,57371
Eastern Mediterranean Route,2015-08-01,112212
Eastern Mediterranean Route,2015-09-01,149563
Eastern Mediterranean Route,2015-10-01,216260
Eastern Mediterranean Route,2015-11-01,155558
Eastern Mediterranean Route,2015-12-01,112092
Eastern Mediterranean Route,2016-01-01,68581
Eastern Mediterranean Route,2016-02-01,58043
Eastern Mediterranean Route,2016-03-01,27343
Eastern Mediterranean Route,2016-04-01,4324
Eastern Mediterranean Route,2016-05-01,2285
Eastern Mediterranean Route,2016-06-01,2195
Eastern Mediterranean Route,2016-07-01,2420
Eastern Mediterranean Route,2016-08-01,4401
Eastern Mediterranean Route,2016-09-01,3679
Eastern Mediterranean Route,2016-10-01,4195
Eastern Mediterranean Route,2016-11-01,2680
Eastern Mediterranean Route,2016-12-01,2131
Eastern Mediterranean Route,2017-01-01,1826
Eastern Mediterranean Route,2017-02-01,1601
Eastern Mediterranean Route,2017-03-01,2631
Eastern Mediterranean Route,2017-04-01,1708
Eastern Mediterranean Route,2017-05-01,2687
Eastern Mediterranean Route,2017-06-01,3011
Eastern Mediterranean Route,2017-07-01,3411
Eastern Mediterranean Route,2017-08-01,4782
Eastern Mediterranean Route,2017-09-01,7136
Eastern Mediterranean Route,2017-10-01,5573
Eastern Mediterranean Route,2017-11-01,4712
Eastern Mediterranean Route,2017-12-01,3241
Eastern Mediterranean Route,2018-01-01,2303
Eastern Mediterranean Route,2018-02-01,1826
Eastern Mediterranean Route,2018-03-01,4053
Eastern Mediterranean Route,2018-04-01,7272
Eastern Mediterranean Route,2018-05-01,5256
Eastern Mediterranean Route,2018-06-01,4813
Eastern Mediterranean Route,2018-07-01,4532
Eastern Mediterranean Route,2018-08-01,4901
Eastern Mediterranean Route,2018-09-01,6466
Eastern Mediterranean Route,2018-10-01,6782
Eastern Mediterranean Route,2018-11-01,3856
Eastern Mediterranean Route,2018-12-01,4500
Eastern Mediterranean Route,2019-01-01,3244
Eastern Mediterranean Route,2019-02-01,2756
Eastern Mediterranean Route,2019-03-01,3806
Eastern Mediterranean Route,2019-04-01,3811
Eastern Mediterranean Route,2019-05-01,3931
Eastern Mediterranean Route,2019-06-01,4886
Eastern Mediterranean Route,2019-07-01,6615
Eastern Mediterranean Route,2019-08-01,9980
Eastern Mediterranean Route,2019-09-01,13140
Eastern Mediterranean Route,2019-10-01,12230
Eastern Mediterranean Route,2019-11-01,10883
Eastern Mediterranean Route,2019-12-01,8051
Eastern Mediterranean Route,2020-01-01,4443
Eastern Mediterranean Route,2020-02-01,3638
Eastern Mediterranean Route,2020-03-01,3238
Eastern Mediterranean Route,2020-04-01,139
Eastern Mediterranean Route,2020-05-01,303
Eastern Mediterranean Route,2020-06-01,681
Eastern Mediterranean Route,2020-07-01,928
Eastern Mediterranean Route,2020-08-01,1250
Eastern Mediterranean Route,2020-09-01,1360
Eastern Mediterranean Route,2020-10-01,1829
Eastern Mediterranean Route,2020-11-01,1589
Eastern Mediterranean Route,2020-12-01,882
Eastern Mediterranean Route,2021-01-01,836
Eastern Mediterranean Route,2021-02-01,793
Eastern Mediterranean Route,2021-03-01,1945
Eastern Mediterranean Route,2021-04-01,2007
Eastern Mediterranean Route,2021-05-01,1652
Eastern Mediterranean Route,2021-06-01,1324
Eastern Mediterranean Route,2021-07-01,1342
Eastern Mediterranean Route,2021-08-01,1950
Eastern Mediterranean Route,2021-09-01,1949
Eastern Mediterranean Route,2021-10-01,3393
Eastern Mediterranean Route,2021-11-01,3141
Eastern Mediterranean Route,2021-12-01,2461
Eastern Mediterranean Route,2022-01-01,1340
Eastern Mediterranean Route,2022-02-01,1748
Eastern Mediterranean Route,2022-03-01,3527
Eastern Mediterranean Route,2022-04-01,3455
Eastern Mediterranean Route,2022-05-01,2598
Eastern Mediterranean Route,2022-06-01,3185
Eastern Mediterranean Route,2022-07-01,2968
Eastern Mediterranean Route,2022-08-01,3924
Eastern Mediterranean Route,2022-09-01,4538
Eastern Mediterranean Route,2022-10-01,3892
Eastern Mediterranean Route,2022-11-01,4551
Eastern Mediterranean Route,2022-12-01,2964
Eastern Mediterranean Route,2023-01-01,2341
Eastern Mediterranean Route,2023-02-01,1882
Eastern Mediterranean Route,2023-03-01,2344
Eastern Mediterranean Route,2023-04-01,1880
Eastern Mediterranean Route,2023-05-01,2295
Eastern Mediterranean Route,2023-06-01,3510
Eastern Mediterranean Route,2023-07-01,4591
Eastern Mediterranean Route,2023-08-01,8048
Eastern Mediterranean Route,2023-09-01,12971
Eastern Mediterranean Route,2023-10-01,8659
Eastern Mediterranean Route,2023-11-01,5917
Eastern Mediterranean Route,2023-12-01,6796
Eastern Mediterranean Route,2024-01-01,4410
Eastern Mediterranean Route,2024-02-01,5355
Eastern Mediterranean Route,2024-03-01,3878
Eastern Mediterranean Route,2024-04-01,3871
Eastern Mediterranean Route,2024-05-01,4662
Eastern Mediterranean Route,2024-06-01,3631
Eastern Mediterranean Route,2024-07-01,5562
Eastern Mediterranean Route,2024-08-01,7478
Eastern Mediterranean Route,2024-09-01,8732
Eastern Mediterranean Route,2024-10-01,9130
Eastern Mediterranean Route,2024-11-01,8200
Eastern Mediterranean Route,2024-12-01,5045
Eastern Mediterranean Route,2025-01-01,3695
Eastern Mediterranean Route,2025-02-01,2855
Eastern Mediterranean Route,2025-03-01,3235
Eastern Mediterranean Route,2025-04-01,2555
Eastern Mediterranean Route,2025-05-01,3560
Eastern Mediterranean Route,2025-06-01,5020
Eastern Mediterranean Route,2025-07-01,7150
Eastern Mediterranean Route,2025-08-01,4105
Eastern Mediterranean Route,2025-09-01,5390
Other,2009-01-01,0
Other,2009-02-01,0
Other,2009-03-01,1
Other,2009-04-01,0
Other,2009-05-01,0
Other,2009-06-01,0
Other,2009-07-01,0
Other,2009-08-01,1
Other,2009-09-01,9
Other,2009-10-01,5
Other,2009-11-01,2
Other,2009-12-01,2
Other,2010-01-01,0
Other,2010-02-01,0
Other,2010-03-01,0
Other,2010-04-01,1
Other,2010-05-01,0
Other,2010-06-01,0
Other,2010-07-01,0
Other,2010-08-01,0
Other,2010-09-01,2
Other,2010-10-01,0
Other,2010-11-01,0
Other,2010-12-01,0
Other,2011-01-01,0
Other,2011-02-01,0
Other,2011-03-01,1
Other,2011-04-01,0
Other,2011-05-01,0
Other,2011-06-01,0
Other,2011-07-01,0
Other,2011-08-01,0
Other,2011-09-01,0
Other,2011-10-01,0
Other,2011-11-01,0
Other,2011-12-01,0
Other,2012-01-01,0
Other,2012-02-01,0
Other,2012-03-01,0
Other,2012-04-01,0
Other,2012-05-01,0
Other,2012-06-01,0
Other,2012-07-01,0
Other,2012-08-01,0
Other,2012-09-01,0
Other,2012-10-01,0
Other,2012-11-01,0
Other,2012-12-01,0
Other,2013-01-01,0
Other,2013-02-01,0
Other,2013-03-01,0
Other,2013-04-01,0
Other,2013-05-01,2
Other,2013-06-01,0
Other,2013-07-01,0
Other,2013-08-01,0
Other,2013-09-01,0
Other,2013-10-01,2
Other,2013-11-01,0
Other,2013-12-01,0
Other,2014-01-01,0
Other,2014-02-01,0
Other,2014-03-01,0
Other,2014-04-01,0
Other,2014-05-01,0
Other,2014-06-01,5
Other,2014-07-01,0
Other,2014-08-01,3
Other,2014-09-01,1
Other,2014-10-01,3
Other,2014-11-01,0
Other,2014-12-01,0
Other,2015-01-01,0
Other,2015-02-01,2
Other,2015-03-01,0
Other,2015-04-01,0
Other,2015-05-01,1
Other,2015-06-01,1
Other,2015-07-01,1
Other,2015-08-01,0
Other,2015-09-01,1
Other,2015-10-01,1
Other,2015-11-01,0
Other,2015-12-01,0
Other,2016-01-01,0
Other,2016-02-01,0
Other,2016-03-01,0
Other,2016-04-01,0
Other,2016-05-01,0
Other,2016-06-01,0
Other,2016-07-01,0
Other,2016-08-01,0
Other,2016-09-01,0
Other,2016-10-01,1
Other,2016-11-01,0
Other,2016-12-01,0
Other,2017-01-01,0
Other,2017-02-01,0
Other,2017-03-01,0
Other,2017-04-01,0
Other,2017-05-01,0
Other,2017-06-01,0
Other,2017-07-01,0
Other,2017-08-01,0
Other,2017-09-01,0
Other,2017-10-01,1
Other,2017-11-01,0
Other,2017-12-01,0
Other,2018-01-01,0
Other,2018-02-01,0
Other,2018-03-01,0
Other,2018-04-01,0
Other,2018-05-01,0
Other,2018-06-01,0
Other,2018-07-01,0
Other,2018-08-01,0
Other,2018-09-01,0
Other,2018-10-01,0
Other,2018-11-01,0
Other,2018-12-01,0
Other,2019-01-01,0
Other,2019-02-01,0
Other,2019-03-01,0
Other,2019-04-01,0
Other,2019-05-01,0
Other,2019-06-01,0
Other,2019-07-01,3
Other,2019-08-01,0
Other,2019-09-01,0
Other,2019-10-01,0
Other,2019-11-01,0
Other,2019-12-01,0
Other,2020-01-01,0
Other,2020-02-01,0
Other,2020-03-01,0
Other,2020-04-01,0
Other,2020-05-01,0
Other,2020-06-01,0
Other,2020-07-01,0
Other,2020-08-01,0
Other,2020-09-01,2
Other,2020-10-01,0
Other,2020-11-01,0
Other,2020-12-01,0
Other,2021-01-01,0
Other,2021-02-01,0
Other,2021-03-01,0
Other,2021-04-01,0
Other,2021-05-01,0
Other,2021-06-01,0
Other,2021-07-01,0
Other,2021-08-01,0
Other,2021-09-01,0
Other,2021-10-01,0
Other,2021-11-01,0
Other,2021-12-01,0
Other,2022-01-01,0
Other,2022-02-01,0
Other,2022-03-01,0
Other,2022-04-01,0
Other,2022-05-01,1
Other,2022-06-01,1
Other,2022-07-01,0
Other,2022-08-01,2
Other,2022-09-01,0
Other,2022-10-01,0
Other,2022-11-01,6
Other,2022-12-01,0
Other,2023-01-01,1
Other,2023-02-01,0
Other,2023-03-01,0
Other,2023-04-01,0
Other,2023-05-01,0
Other,2023-06-01,3
Other,2023-07-01,0
Other,2023-08-01,0
Other,2023-09-01,0
Other,2023-10-01,0
Other,2023-11-01,0
Other,2023-12-01,1
Other,2024-01-01,0
Other,2024-02-01,0
Other,2024-03-01,0
Other,2024-04-01,0
Other,2024-05-01,0
Other,2024-06-01,0
Other,2024-07-01,0
Other,2024-08-01,0
Other,2024-09-01,2
Other,2024-10-01,0
Other,2024-11-01,0
Other,2024-12-01,0
Other,2025-01-01,0
Other,2025-02-01,0
Other,2025-03-01,0
Other,2025-04-01,0
Other,2025-05-01,0
Other,2025-06-01,0
Other,2025-07-01,0
Other,2025-08-01,0
Other,2025-09-01,0
Western African Route,2009-01-01,361
Western African Route,2009-02-01,685
Western African Route,2009-03-01,392
Western African Route,2009-04-01,0
Western African Route,2009-05-01,0
Western African Route,2009-06-01,161
Western African Route,2009-07-01,197
Western African Route,2009-08-01,14
Western African Route,2009-09-01,402
Western African Route,2009-10-01,32
Western African Route,2009-11-01,0
Western African Route,2009-12-01,0
Western African Route,2010-01-01,0
Western African Route,2010-02-01,5
Western African Route,2010-03-01,0
Western African Route,2010-04-01,10
Western African Route,2010-05-01,2
Western African Route,2010-06-01,4
Western African Route,2010-07-01,8
Western African Route,2010-08-01,20
Western African Route,2010-09-01,34
Western African Route,2010-10-01,113
Western African Route,2010-11-01,0
Western African Route,2010-12-01,0
Western African Route,2011-01-01,76
Western African Route,2011-02-01,9
Western African Route,2011-03-01,69
Western African Route,2011-04-01,0
Western African Route,2011-05-01,19
Western African Route,2011-06-01,5
Western African Route,2011-07-01,0
Western African Route,2011-08-01,50
Western African Route,2011-09-01,0
Western African Route,2011-10-01,98
Western African Route,2011-11-01,0
Western African Route,2011-12-01,14
Western African Route,2012-01-01,10
Western African Route,2012-02-01,2
Western African Route,2012-03-01,0
Western African Route,2012-04-01,4
Western African Route,2012-05-01,8
Western African Route,2012-06-01,19
Western African Route,2012-07-01,0
Western African Route,2012-08-01,17
Western African Route,2012-09-01,23
Western African Route,2012-10-01,14
Western African Route,2012-11-01,16
Western African Route,2012-12-01,61
Western African Route,2013-01-01,0
Western African Route,2013-02-01,0
Western African Route,2013-03-01,12
Western African Route,2013-04-01,22
Western African Route,2013-05-01,11
Western African Route,2013-06-01,0
Western African Route,2013-07-01,0
Western African Route,2013-08-01,28
Western African Route,2013-09-01,104
Western African Route,2013-10-01,0
Western African Route,2013-11-01,87
Western African Route,2013-12-01,19
Western African Route,2014-01-01,17
Western African Route,2014-02-01,0
Western African Route,2014-03-01,22
Western African Route,2014-04-01,25
Western African Route,2014-05-01,56
Western African Route,2014-06-01,26
Western African Route,2014-07-01,22
Western African Route,2014-08-01,7
Western African Route,2014-09-01,17
Western African Route,2014-10-01,7
Western African Route,2014-11-01,32
Western African Route,2014-12-01,45
Western African Route,2015-01-01,23
Western African Route,2015-02-01,0
Western African Route,2015-03-01,13
Western African Route,2015-04-01,3
Western African Route,2015-05-01,74
Western African Route,2015-06-01,37
Western African Route,2015-07-01,34
Western African Route,2015-08-01,32
Western African Route,2015-09-01,162
Western African Route,2015-10-01,264
Western African Route,2015-11-01,48
Western African Route,2015-12-01,184
Western African Route,2016-01-01,45
Western African Route,2016-02-01,42
Western African Route,2016-03-01,75
Western African Route,2016-04-01,2
Western African Route,2016-05-01,109
Western African Route,2016-06-01,57
Western African Route,2016-07-01,0
Western African Route,2016-08-01,64
Western African Route,2016-09-01,80
Western African Route,2016-10-01,35
Western African Route,2016-11-01,74
Western African Route,2016-12-01,88
Western African Route,2017-01-01,14
Western African Route,2017-02-01,60
Western African Route,2017-03-01,0
Western African Route,2017-04-01,39
Western African Route,2017-05-01,0
Western African Route,2017-06-01,0
Western African Route,2017-07-01,0
Western African Route,2017-08-01,20
Western African Route,2017-09-01,0
Western African Route,2017-10-01,118
Western African Route,2017-11-01,148
Western African Route,2017-12-01,22
Western African Route,2018-01-01,21
Western African Route,2018-02-01,43
Western African Route,2018-03-01,0
Western African Route,2018-04-01,45
Western African Route,2018-05-01,12
Western African Route,2018-06-01,320
Western African Route,2018-07-01,13
Western African Route,2018-08-01,66
Western African Route,2018-09-01,140
Western African Route,2018-10-01,564
Western African Route,2018-11-01,55
Western African Route,2018-12-01,44
Western African Route,2019-01-01,40
Western African Route,2019-02-01,44
Western African Route,2019-03-01,86
Western African Route,2019-04-01,64
Western African Route,2019-05-01,129
Western African Route,2019-06-01,119
Western African Route,2019-07-01,0
Western African Route,2019-08-01,151
Western African Route,2019-09-01,362
Western African Route,2019-10-01,495
Western African Route,2019-11-01,517
Western African Route,2019-12-01,711
Western African Route,2020-01-01,708
Western African Route,2020-02-01,425
Western African Route,2020-03-01,423
Western African Route,2020-04-01,329
Western African Route,2020-05-01,1650
Western African Route,2020-06-01,222
Western African Route,2020-07-01,436
Western African Route,2020-08-01,797
Western African Route,2020-09-01,2148
Western African Route,2020-10-01,5342
Western African Route,2020-11-01,8175
Western African Route,2020-12-01,3432
Western African Route,2021-01-01,2077
Western African Route,2021-02-01,264
Western African Route,2021-03-01,1095
Western African Route,2021-04-01,1251
Western African Route,2021-05-01,817
Western African Route,2021-06-01,1449
Western African Route,2021-07-01,601
Western African Route,2021-08-01,1808
Western African Route,2021-09-01,3833
Western African Route,2021-10-01,3635
Western African Route,2021-11-01,3129
Western African Route,2021-12-01,2392
Western African Route,2022-01-01,3147
Western African Route,2022-02-01,2347
Western African Route,2022-03-01,375
Western African Route,2022-04-01,648
Western African Route,2022-05-01,1650
Western African Route,2022-06-01,462
Western African Route,2022-07-01,848
Western African Route,2022-08-01,1065
Western African Route,2022-09-01,1791
Western African Route,2022-10-01,1900
Western African Route,2022-11-01,761
Western African Route,2022-12-01,469
Western African Route,2023-01-01,567
Western African Route,2023-02-01,1320
Western African Route,2023-03-01,332
Western African Route,2023-04-01,1196
Western African Route,2023-05-01,1047
Western African Route,2023-06-01,2698
Western African Route,2023-07-01,1336
Western African Route,2023-08-01,2948
Western African Route,2023-09-01,3830
Western African Route,2023-10-01,14565
Western African Route,2023-11-01,5144
Western African Route,2023-12-01,4690
Western African Route,2024-01-01,7214
Western African Route,2024-02-01,4746
Western African Route,2024-03-01,1135
Western African Route,2024-04-01,2781
Western African Route,2024-05-01,1173
Western African Route,2024-06-01,2212
Western African Route,2024-07-01,2215
Western African Route,2024-08-01,4094
Western African Route,2024-09-01,5279
Western African Route,2024-10-01,3349
Western African Route,2024-11-01,7679
Western African Route,2024-12-01,4943
Western African Route,2025-01-01,4713
Western African Route,2025-02-01,2467
Western African Route,2025-03-01,2267
Western African Route,2025-04-01,1023
Western African Route,2025-05-01,542
Western African Route,2025-06-01,388
Western African Route,2025-07-01,175
Western African Route,2025-08-01,570
Western African Route,2025-09-01,703
Western Balkan Route,2009-01-01,177
Western Balkan Route,2009-02-01,327
Western Balkan Route,2009-03-01,355
Western Balkan Route,2009-04-01,161
Western Balkan Route,2009-05-01,214
Western Balkan Route,2009-06-01,168
Western Balkan Route,2009-07-01,253
Western Balkan Route,2009-08-01,289
Western Balkan Route,2009-09-01,328
Western Balkan Route,2009-10-01,384
Western Balkan Route,2009-11-01,191
Western Balkan Route,2009-12-01,148
Western Balkan Route,2010-01-01,171
Western Balkan Route,2010-02-01,210
Western Balkan Route,2010-03-01,202
Western Balkan Route,2010-04-01,328
Western Balkan Route,2010-05-01,182
Western Balkan Route,2010-06-01,141
Western Balkan Route,2010-07-01,143
Western Balkan Route,2010-08-01,167
Western Balkan Route,2010-09-01,173
Western Balkan Route,2010-10-01,209
Western Balkan Route,2010-11-01,211
Western Balkan Route,2010-12-01,165
Western Balkan Route,2011-01-01,274
Western Balkan Route,2011-02-01,171
Western Balkan Route,2011-03-01,276
Western Balkan Route,2011-04-01,305
Western Balkan Route,2011-05-01,262
Western Balkan Route,2011-06-01,347
Western Balkan Route,2011-07-01,387
Western Balkan Route,2011-08-01,403
Western Balkan Route,2011-09-01,403
Western Balkan Route,2011-10-01,831
Western Balkan Route,2011-11-01,532
Western Balkan Route,2011-12-01,405
Western Balkan Route,2012-01-01,522
Western Balkan Route,2012-02-01,276
Western Balkan Route,2012-03-01,656
Western Balkan Route,2012-04-01,349
Western Balkan Route,2012-05-01,526
Western Balkan Route,2012-06-01,515
Western Balkan Route,2012-07-01,454
Western Balkan Route,2012-08-01,543
Western Balkan Route,2012-09-01,1028
Western Balkan Route,2012-10-01,674
Western Balkan Route,2012-11-01,412
Western Balkan Route,2012-12-01,381
Western Balkan Route,2013-01-01,531
Western Balkan Route,2013-02-01,844
Western Balkan Route,2013-03-01,1386
Western Balkan Route,2013-04-01,1794
Western Balkan Route,2013-05-01,3202
Western Balkan Route,2013-06-01,3931
Western Balkan Route,2013-07-01,2349
Western Balkan Route,2013-08-01,1221
Western Balkan Route,2013-09-01,1280
Western Balkan Route,2013-10-01,1222
Western Balkan Route,2013-11-01,1060
Western Balkan Route,2013-12-01,1106
Western Balkan Route,2014-01-01,1520
Western Balkan Route,2014-02-01,925
Western Balkan Route,2014-03-01,895
Western Balkan Route,2014-04-01,902
Western Balkan Route,2014-05-01,901
Western Balkan Route,2014-06-01,1206
Western Balkan Route,2014-07-01,1738
Western Balkan Route,2014-08-01,2436
Western Balkan Route,2014-09-01,4912
Western Balkan Route,2014-10-01,5504
Western Balkan Route,2014-11-01,9407
Western Balkan Route,2014-12-01,13009
Western Balkan Route,2015-01-01,12927
Western Balkan Route,2015-02-01,14722
Western Balkan Route,2015-03-01,5301
Western Balkan Route,2015-04-01,7016
Western Balkan Route,2015-05-01,10371
Western Balkan Route,2015-06-01,17170
Western Balkan Route,2015-07-01,35564
Western Balkan Route,2015-08-01,52973
Western Balkan Route,2015-09-01,141207
Western Balkan Route,2015-10-01,205703
Western Balkan Route,2015-11-01,163879
Western Balkan Route,2015-12-01,97200
Western Balkan Route,2016-01-01,67000
Western Balkan Route,2016-02-01,36622
Western Balkan Route,2016-03-01,5027
Western Balkan Route,2016-04-01,3937
Western Balkan Route,2016-05-01,3431
Western Balkan Route,2016-06-01,3734
Western Balkan Route,2016-07-01,2231
Western Balkan Route,2016-08-01,2072
Western Balkan Route,2016-09-01,1586
Western Balkan Route,2016-10-01,1991
Western Balkan Route,2016-11-01,1225
Western Balkan Route,2016-12-01,1405
Western Balkan Route,2017-01-01,1522
