wave,date,country_code,context,issue,pct
EB102.2,2024-10-01,MK,eu,environment,7.000000000000001
EB103.3,2025-03-01,MK,eu,environment,6
EB104.1,2025-10-01,MK,eu,environment,6
EB105.2,2026-03-01,MK,eu,environment,4
EB101.3,2024-04-01,MT,eu,environment,13
EB102.2,2024-10-01,MT,eu,environment,15
EB103.3,2025-03-01,MT,eu,environment,9
EB104.1,2025-10-01,MT,eu,environment,10
EB105.2,2026-03-01,MT,eu,environment,7.000000000000001
EB101.3,2024-04-01,NL,eu,environment,35
EB102.2,2024-10-01,NL,eu,environment,35
EB103.3,2025-03-01,NL,eu,environment,14.000000000000002
EB104.1,2025-10-01,NL,eu,environment,16
EB105.2,2026-03-01,NL,eu,environment,10
EB101.3,2024-04-01,PL,eu,environment,10
EB102.2,2024-10-01,PL,eu,environment,12
EB103.3,2025-03-01,PL,eu,environment,7.000000000000001
EB104.1,2025-10-01,PL,eu,environment,7.000000000000001
EB105.2,2026-03-01,PL,eu,environment,7.000000000000001
EB101.3,2024-04-01,PT,eu,environment,9
EB102.2,2024-10-01,PT,eu,environment,11
EB103.3,2025-03-01,PT,eu,environment,10
EB104.1,2025-10-01,PT,eu,environment,7.000000000000001
EB105.2,2026-03-01,PT,eu,environment,5
EB101.3,2024-04-01,RO,eu,environment,10
EB102.2,2024-10-01,RO,eu,environment,10
EB103.3,2025-03-01,RO,eu,environment,9
EB104.1,2025-10-01,RO,eu,environment,8
EB105.2,2026-03-01,RO,eu,environment,5
EB101.3,2024-04-01,RS,eu,environment,7.000000000000001
EB102.2,2024-10-01,RS,eu,environment,11
EB103.3,2025-03-01,RS,eu,environment,8
EB104.1,2025-10-01,RS,eu,environment,7.000000000000001
EB105.2,2026-03-01,RS,eu,environment,7.000000000000001
EB101.3,2024-04-01,SE,eu,environment,49
EB102.2,2024-10-01,SE,eu,environment,43
EB103.3,2025-03-01,SE,eu,environment,25
EB104.1,2025-10-01,SE,eu,environment,26
EB105.2,2026-03-01,SE,eu,environment,21
EB101.3,2024-04-01,SI,eu,environment,12
EB102.2,2024-10-01,SI,eu,environment,10
EB103.3,2025-03-01,SI,eu,environment,6
EB104.1,2025-10-01,SI,eu,environment,5
EB105.2,2026-03-01,SI,eu,environment,4
EB101.3,2024-04-01,SK,eu,environment,9
EB102.2,2024-10-01,SK,eu,environment,8
EB103.3,2025-03-01,SK,eu,environment,9
EB104.1,2025-10-01,SK,eu,environment,8
EB105.2,2026-03-01,SK,eu,environment,4
EB101.3,2024-04-01,TR,eu,environment,13
EB102.2,2024-10-01,TR,eu,environment,8
EB103.3,2025-03-01,TR,eu,environment,8
EB104.1,2025-10-01,TR,eu,environment,6
EB105.2,2026-03-01,TR,eu,environment,4
EB101.3,2024-04-01,UK,eu,environment,12
EB102.2,2024-10-01,UK,eu,environment,14.000000000000002
EB103.3,2025-03-01,UK,eu,environment,5
EB104.1,2025-10-01,UK,eu,environment,7.000000000000001
EB105.2,2026-03-01,UK,eu,environment,5
EB101.3,2024-04-01,XK,eu,environment,5
EB102.2,2024-10-01,XK,eu,environment,4
EB103.3,2025-03-01,XK,eu,environment,5
EB104.1,2025-10-01,XK,eu,environment,7.000000000000001
EB105.2,2026-03-01,XK,eu,environment,4
EB101.3,2024-04-01,AL,pers,environment,3
EB102.2,2024-10-01,AL,pers,environment,2
EB103.3,2025-03-01,AL,pers,environment,2
EB104.1,2025-10-01,AL,pers,environment,2
EB105.2,2026-03-01,AL,pers,environment,4
EB101.3,2024-04-01,AT,pers,environment,12
EB102.2,2024-10-01,AT,pers,environment,9
EB103.3,2025-03-01,AT,pers,environment,9
EB104.1,2025-10-01,AT,pers,environment,7.000000000000001
EB105.2,2026-03-01,AT,pers,environment,7.000000000000001
EB101.3,2024-04-01,BA,pers,environment,3
EB102.2,2024-10-01,BA,pers,environment,5
EB103.3,2025-03-01,BA,pers,environment,6
EB104.1,2025-10-01,BA,pers,environment,6
EB105.2,2026-03-01,BA,pers,environment,8
EB101.3,2024-04-01,BE,pers,environment,14.000000000000002
EB102.2,2024-10-01,BE,pers,environment,12
EB103.3,2025-03-01,BE,pers,environment,12
EB104.1,2025-10-01,BE,pers,environment,9
EB105.2,2026-03-01,BE,pers,environment,7.000000000000001
EB101.3,2024-04-01,BG,pers,environment,5
EB102.2,2024-10-01,BG,pers,environment,4
EB103.3,2025-03-01,BG,pers,environment,6
EB104.1,2025-10-01,BG,pers,environment,8
EB105.2,2026-03-01,BG,pers,environment,5
EB101.3,2024-04-01,CY,pers,environment,4
EB102.2,2024-10-01,CY,pers,environment,5
EB103.3,2025-03-01,CY,pers,environment,6
EB104.1,2025-10-01,CY,pers,environment,5
EB105.2,2026-03-01,CY,pers,environment,3
EB101.3,2024-04-01,CY(TCC),pers,environment,2
EB102.2,2024-10-01,CY(TCC),pers,environment,5
